"variable","G05_1_E_cluster_DBSCAN_round3_4","G05_2_B_cluster_DBSCAN_round2_17","G05_2_C_cluster_DBSCAN_round3_1","G05_3_E_cluster_DBSCAN_round7_3","G05_5_C_cluster_DBSCAN_round2_2","G05_6_E_cluster_DBSCAN_round5_10","G05_6_E_cluster_DBSCAN_round6_6","G05_6_E_cluster_DBSCAN_round7_6","G05_7_A_cluster_DBSCAN_round8_2","G05_7_C_cluster_DBSCAN_round4_18","G10_2_C_cluster_DBSCAN_round1_10","G10_3_A_cluster_DBSCAN_round5_0","G10_3_D_cluster_DBSCAN_round210_2","G10_6_B_cluster_DBSCAN_round179_0","G10_6_E_cluster_DBSCAN_round5_1","G10_7_A_cluster_DBSCAN_round160_0","G10_7_C_cluster_DBSCAN_round1_6","G10_7_C_cluster_DBSCAN_round7_14","G10_7_C_cluster_DBSCAN_round7_2","G10_7_E_cluster_DBSCAN_round81_0","MES_1_D_cluster_DBSCAN_round2_17","MES_1_E_cluster_DBSCAN_round6_3","MES_2_C_cluster_DBSCAN_round3_1","MES_5_C_cluster_DBSCAN_round8_4","MES_7_C_cluster_DBSCAN_round4_2","MES_7_D_cluster_DBSCAN_round362_17","MES_7_E_cluster_DBSCAN_round2_10","pH10_1_E_cluster_DBSCAN_round1_4","pH10_1_E_cluster_DBSCAN_round2_19","pH10_1_E_cluster_DBSCAN_round2_2","pH10_2_A_cluster_DBSCAN_round2_4","pH10_2_A_cluster_DBSCAN_round6_5","pH10_4_D_cluster_DBSCAN_round1_1","pH10_6_A_cluster_DBSCAN_round525_32","pH10_6_C_cluster_DBSCAN_round2_10","pH10_6_E_cluster_DBSCAN_round5_14","pH10_7_A_cluster_DBSCAN_round2_25","pH10_7_B_cluster_DBSCAN_round161_0","pH10_7_C_cluster_DBSCAN_round5_6","pH10_7_C_cluster_DBSCAN_round7_1","pH10_7_C_cluster_DBSCAN_round7_4","pH10_7_E_cluster_DBSCAN_round3_20","pH10_7_F_cluster_DBSCAN_round4_20","pH10_7_F_cluster_DBSCAN_round5_0","pH6_1_A_cluster_DBSCAN_round1_4","pH6_1_D_cluster_DBSCAN_round2_7","pH6_2_E_cluster_DBSCAN_round5_7","pH6_4_F_cluster_DBSCAN_round203_0","pH6_6_D_cluster_DBSCAN_round9_1","pH8_2_E_cluster_DBSCAN_round1_4","pH8_6_D_cluster_DBSCAN_round6_12","pH8_7_C_cluster_DBSCAN_round6_1","pH8_7_D_cluster_DBSCAN_round9_5","pH8_7_F_cluster_DBSCAN_round202_0"
"G10_2_C",50379,56462,323130,1565150,268615,11391,14631,58247,8410,16448,537625,702260,56699,111986,11329,20941,156644,11460,20811,153757,119631,126117,103328,38235,232066,121435,3353,790961,37820,50165,134967,22548,30773,7458,350349,549049,4862,4882,5757,2522,7150,6038,3326,22898,43107,18716,3840965,15025,505442,211468,41889,2342,24456,2890
"G10_2_D",35597,19434,172475,1667247,130882,6922,5332,34540,6313,11531,189255,504233,54065,96303,6074,14671,67270,8967,13894,150492,54328,77008,62227,32165,163243,147238,1611,523036,18023,18177,76271,10179,16000,4874,177876,411786,3878,2661,2335,1496,2910,2901,2671,11101,35458,12114,3343467,10858,221913,87467,19940,752,9348,1814
"G10_2_E",60845,143728,209116,952348,979446,8620,16124,34934,7132,8442,73942,340953,33908,67304,22762,10191,80687,6802,15240,122828,17872,53823,28953,11478,118498,120287,3072,248235,36969,24373,49780,18248,47386,3892,105662,470237,3986,3528,6130,2099,7143,4639,2092,19346,89847,19488,1778499,6667,659480,61455,36522,3286,19253,2757
"G10_2_F",52960,71218,275249,912135,336914,7648,8070,36777,7590,12109,104795,383248,120640,149770,16035,15751,101809,10435,20184,210313,27172,73640,54551,191056,130700,265969,4095,2578849,48709,28047,98068,22442,57168,5129,167715,785688,5462,3686,3619,1976,5872,4112,2912,34463,76447,14050,2443254,16788,2134348,200075,24394,1277,18279,2044
"G10_3_A",71849,55699,325862,2197814,493388,11127,18028,81498,11392,18100,352162,536647,41799,73436,21810,24616,133782,13615,19998,94958,88349,166672,79411,32230,175698,77503,3362,629229,28582,35366,135208,22733,62653,8802,330845,767264,6201,7676,6858,3767,12211,7299,3897,18863,56067,22260,5122942,9194,576347,149599,56817,2144,23401,4685
"G10_3_B",110914,42437,284563,2052391,480687,9390,6175,71173,11307,18482,390281,397545,56310,102236,13048,23611,75914,15259,20547,193305,39497,186300,101908,49612,129606,148557,1879,864465,13151,20992,94064,12945,42821,7904,420567,647884,6113,4939,3667,2451,5174,4244,4122,15093,50780,28127,6008146,11094,361626,297791,50329,848,12918,2966
"G10_3_C",94456,75697,497232,3586938,774093,22801,23801,131085,19464,36483,852931,1677460,85816,151683,25761,45657,185274,25814,36740,228628,181296,249545,205724,61376,566774,152282,4234,1410938,41313,49498,184346,31242,58364,17671,679135,1382657,10539,11240,10549,6034,15167,10503,7532,29056,80229,31190,9715792,19940,682631,279705,80118,3692,30770,7312
"G10_3_D",164805,56442,357021,3023740,1150152,15225,18475,95273,16667,28772,529605,660027,90425,155421,31691,36948,133598,21697,41389,291176,88057,283740,137929,198717,220656,246496,3872,1952634,33581,41799,167014,23304,69878,12477,594286,977608,9075,11836,6914,5375,12787,7910,5941,28499,89498,49512,8571002,16084,666055,696567,83253,1988,24205,6495
"G10_3_E",68771,436862,199806,995618,1394608,14169,22167,74346,11894,10480,84864,241207,39174,126695,57663,12035,79245,9313,38787,267082,20606,75178,37938,15452,84896,245326,3816,577603,43194,28414,34547,19547,140651,5236,173193,453301,5315,5387,6126,2450,7495,4882,3697,32415,128162,27947,1731894,11114,1586229,32943,45949,2920,23513,3090
"G10_3_F",28023,320449,403284,519246,159365,11771,29098,23543,6938,11210,27208,146653,185560,208072,75959,17857,199148,12968,41518,303928,45262,27242,62203,236262,49029,450531,24046,2004752,332769,40327,261256,96977,204332,6380,81226,498338,7378,13654,13684,8125,13309,12246,4653,68863,94019,11050,890507,18170,6180661,465354,10403,7498,48964,6804
